,v,a,ter,rt_cog,n_trials,converged,label
101,4.607204297583499,1.7623902888019989,0.24355773504853742,0.3825292214732018,184,True,0
102,2.9859873934195247,0.962412172833189,0.33493895688379194,0.3223095279646929,165,True,0
103,3.6732384259303092,1.829640975968569,0.185690181319353,0.4981002378423237,167,True,0
104,5.920668535781279,1.921938165258698,0.2754928740755702,0.3246150804698843,176,True,0
105,2.5440885466489127,1.2159225183728162,0.23988633660883005,0.47794033005783654,150,True,0
106,6.103718509745246,2.223632057911739,0.23754779618343116,0.36430775937212445,180,True,0
107,4.890885643905959,2.6641984925422806,0.1631742702338075,0.5447272075987049,203,True,0
108,8.175768359760244,2.6723550314431423,0.13190502377637486,0.3268628333664823,168,True,0
109,5.145339042743949,1.0424654248708143,0.38673748148669634,0.20260383587857317,167,True,0
110,4.02749979718828,1.9235682533728389,0.15366174449748765,0.4776085257727826,185,True,0
111,6.440070860519572,1.8296229404452649,0.25495173202014537,0.2840998143716072,194,True,0
112,2.999065935218442,1.7406133993094468,0.12522440906065088,0.580385179980445,146,True,0
113,4.795721924091165,1.4644220866105946,0.29074336173922993,0.3053600865366321,174,True,0
114,2.540263238249699,0.7293533370820808,0.36354248694948726,0.28711723527273486,144,True,0
115,7.388256322412131,5.078725481084369,0.0001,0.6874051546391753,194,True,0
116,7.034672275400778,3.900902611239191,0.049972027179031174,0.5545251156781117,175,True,0
117,2.441595785410566,1.0487170071458636,0.3088570598171628,0.42952114531104235,156,True,0
118,3.8439224855509555,1.1501360876990487,0.32736510545780234,0.29920896861627183,162,True,0
119,4.7739698414230824,1.7183460028690594,0.26108284689658684,0.3599406825151778,170,True,0
120,8.952573181547983,5.196073478421512,0.0001,0.5803999999999999,182,True,0
121,5.885333590697038,3.420450734685115,0.026067864250268136,0.5811821357497318,156,True,0
122,4.816107916233832,1.4634125172419548,0.2906897056651977,0.3038579133824213,168,True,0
123,5.204655497104008,2.4569193160150973,0.21828407321790788,0.47206183873177765,159,True,0
124,5.973575714324233,2.9925800555767306,0.07403605417337235,0.5009696276448095,176,True,0
125,4.993821195124266,2.1981409134031473,0.22843203676180632,0.44017212990486043,192,True,0
126,5.393661028444443,2.886453031984452,0.07988326527603629,0.5351565074512364,176,True,0
127,3.789053625624461,1.1047753310223067,0.28506557754827266,0.2915702606020164,173,True,0
128,2.9580119076301,1.187427141239656,0.31274019077253423,0.40142743928526925,173,True,0
129,3.036681560760998,0.9776169730116264,0.4167667465748403,0.3219359561278626,185,True,0
130,2.8426733253609893,1.8357211672911407,0.1553010094676327,0.645772816035723,149,True,0
201,5.111216517575902,2.3709885985836587,0.1215274690729647,0.4638795076712214,172,True,1
202,3.2275242864851714,1.1618660078378649,0.30371217106141535,0.3599867536697673,186,True,1
203,9.441175276197862,4.621783934623041,0.05753598955726581,0.4895348069029112,226,True,1
204,1.4836127914276371,0.8161348720448217,0.32236190848507856,0.5500996299764598,208,True,1
205,2.9278549026598215,1.0351688643000685,0.23380835649270906,0.35355879326574513,207,True,1
206,2.9577232907874453,1.11175574394515,0.2792870430440941,0.3758822691252181,189,True,1
207,4.390761214110849,1.6231280090996514,0.28408834385092524,0.36966893770247294,206,True,1
208,5.070955161216583,3.342656755596796,0.02869096781857685,0.6591769567097252,212,True,1
209,1.680245409466584,0.9082655872459864,0.22914267282489864,0.5405553137522827,149,True,1
210,7.004460743732243,4.233396959507075,0.0001,0.6043858490566038,212,True,1
211,3.4044742397119037,1.4348278095542197,0.23596465154210294,0.42145353027607885,220,True,1
212,2.735546251512207,0.9818239783947335,0.2836184204989958,0.35891332553275007,126,True,1
213,2.1555209891757254,1.5733853484993383,0.09737697163271855,0.7299327057866364,155,True,1
214,2.434236740760901,1.4076756603495215,0.1704173299053914,0.5782821519598935,193,True,1
215,2.334238746636702,1.4610853278962945,0.1730481572614743,0.6259365366160766,196,True,1
216,2.2274139195577023,1.4931422790515472,0.10053966145978455,0.6703479125047125,169,True,1
217,2.852017418962493,1.561539688290445,0.17981624292457848,0.5475211064730119,166,True,1
218,2.082362281492813,1.2221074908894545,0.3709429724870819,0.5868851525129182,64,True,1
219,5.793684114272162,3.1444928024088017,0.030441876634470618,0.5427449365523426,182,True,1
220,7.643603236908287,5.0395948266689174,0.0001,0.6593218750000001,256,True,1
221,1.4712054811766324,1.0704539071419565,0.37644759561103175,0.7276032518465951,59,True,1
222,3.613375421361758,1.876109254712486,0.18385327651142563,0.519212380054231,198,True,1
223,5.155225373028463,1.411599141857118,0.27309080657243134,0.2738191033374785,222,True,1
224,3.2335865692858903,2.821250390989749,0.0001,0.8724833333333333,108,True,1
225,5.174592956843308,1.6804951753134547,0.27416740439783205,0.3247589113916417,95,True,1
226,1.6606078537591478,0.9303235864010049,0.2285115214371193,0.5602307466041178,97,True,1
227,3.26526937566674,0.9636293239193067,0.3269440164403007,0.295114807089111,187,True,1
228,2.949222498749094,1.1336099710867866,0.38966957532590496,0.38437587921954963,44,True,1
229,1.8791292091530087,1.4683911714839306,0.16815036526800367,0.7814210633034249,84,True,1
