,mean,median,mode,std,iqr,cv,skew,kurtosis,p10,p25,p75,p90,min,max,range,first_response,sliding_std_mean,interval_mean,label
101,0.6260869565217392,0.5965,0.481,0.1418049527078528,0.1572499999999999,0.22649402168615373,1.7835151091297614,5.970137843227487,0.488,0.5327500000000001,0.69,0.7865000000000001,0.365,1.433,1.068,0.694,0.11010822391984705,0.14100546448087434,0
102,0.6572484848484849,0.601,0.425,0.19748934473936336,0.21599999999999997,0.30047896540208907,2.3709457097541553,10.028984111641497,0.4812,0.532,0.748,0.8837999999999999,0.417,1.918,1.501,0.576,0.11546307504335723,0.15042682926829268,0
103,0.6837904191616767,0.639,0.582,0.279944601712496,0.17000000000000004,0.40940117595637937,7.190739327011483,70.68376813274831,0.4974,0.575,0.745,0.8428,0.306,3.623,3.317,0.588,0.16028737263204268,0.20281927710843373,0
104,0.6001079545454545,0.5854999999999999,0.605,0.09659583526876643,0.123,0.16096409743798837,0.8751796035106015,0.8712754570936796,0.4915,0.529,0.652,0.7295,0.396,0.932,0.536,0.739,0.08021721782238642,0.10307999999999996,0
105,0.7178266666666666,0.613,0.557,0.46996576820965263,0.1309999999999999,0.6547064772502916,4.973628784739505,26.074986409533,0.5075000000000001,0.562,0.693,0.8160999999999999,0.296,3.744,3.4480000000000004,0.596,0.24114698735892004,0.28463758389261745,0
106,0.6018555555555556,0.585,0.518,0.10151415458076236,0.11499999999999999,0.16866863426567122,1.198582746978613,2.639804716920816,0.493,0.534,0.649,0.7267999999999999,0.388,1.072,0.684,0.881,0.07663065377072646,0.10340223463687151,0
107,0.7079014778325123,0.68,0.708,0.18824308293713762,0.14700000000000002,0.26591706449534414,4.7273971313251035,37.12353369169192,0.5542,0.608,0.755,0.8566,0.314,2.449,2.135,0.572,0.12175667943058661,0.15173267326732673,0
108,0.45876785714285717,0.4465,0.382,0.07042937810438246,0.08400000000000002,0.1535185541179953,0.7301620637927276,0.6758138262832558,0.378,0.414,0.498,0.563,0.292,0.714,0.422,0.442,0.056025938376555756,0.07798802395209581,0
109,0.5893413173652695,0.573,0.501,0.08637592066149476,0.1080000000000001,0.14656349065707808,1.107797171718305,1.5238219080272044,0.4962,0.5285,0.6365000000000001,0.7076,0.446,0.922,0.47600000000000003,0.536,0.06838893444161011,0.09034337349397588,0
110,0.6312702702702703,0.61,0.645,0.18630553931917332,0.18499999999999994,0.2951280110805931,2.1786421553829847,7.991030213743439,0.4454,0.518,0.703,0.7935999999999999,0.292,1.588,1.296,0.707,0.1316209511728095,0.16866847826086956,0
111,0.5390515463917526,0.5265,0.522,0.08444266903218288,0.08899999999999997,0.15665045318470278,1.1796688280345118,2.494828112262301,0.44480000000000003,0.48575,0.57475,0.6476000000000002,0.377,0.894,0.517,0.545,0.06506633821203828,0.08894300518134714,0
112,0.7056095890410959,0.6665000000000001,0.682,0.2900857306744456,0.22124999999999995,0.4111136458174614,2.5896846008757057,9.141599880352912,0.457,0.542,0.76325,0.937,0.263,2.282,2.019,0.681,0.1937513185187192,0.25488275862068965,0
113,0.596103448275862,0.5765,0.532,0.14928758287916144,0.11149999999999993,0.2504390526693864,5.037031423645608,36.346389450939995,0.4913,0.5255000000000001,0.637,0.6985,0.389,1.873,1.484,0.525,0.09529793229464716,0.12354913294797687,0
114,0.6506597222222221,0.588,0.558,0.35594284347651245,0.15250000000000008,0.5470491430771952,6.8128817322497355,52.66876865560492,0.48,0.5225,0.675,0.7859000000000004,0.399,3.816,3.417,0.523,0.16946540118008319,0.19755244755244752,0
115,0.6875051546391753,0.679,0.589,0.11088297199563302,0.16525000000000012,0.1612831136572757,0.28262019210546097,-0.2860881467567964,0.5572,0.6034999999999999,0.76875,0.827,0.42,0.974,0.554,0.745,0.0788347405549943,0.11250777202072539,0
116,0.6044971428571428,0.599,0.508,0.10608411079546884,0.11050000000000004,0.17549150074401437,0.6089910371912757,0.5060140433311773,0.478,0.5425,0.653,0.7296,0.378,0.913,0.535,0.892,0.0847857766413949,0.11387931034482757,0
117,0.7383782051282052,0.6615,0.625,0.3883442720416353,0.18775000000000008,0.5259422195082353,4.622112463980395,25.0081330049532,0.5065,0.57375,0.7615000000000001,0.897,0.366,3.503,3.137,0.735,0.21973141914592417,0.26463870967741937,0
118,0.6265740740740742,0.5874999999999999,0.547,0.1476095034226654,0.15400000000000003,0.2355818881283857,1.6047047695853254,3.2619241653260476,0.4883,0.52825,0.68225,0.8048000000000001,0.402,1.303,0.9009999999999999,0.588,0.11277786964115151,0.14446583850931674,0
119,0.6210235294117646,0.5965,0.575,0.1388573941745812,0.135,0.22359441727772755,2.581815190736001,12.210186794546019,0.4964,0.535,0.67,0.7564,0.384,1.529,1.145,0.702,0.09781011356042578,0.12610059171597632,0
120,0.5804999999999999,0.5805,0.558,0.08294117801785197,0.10875000000000001,0.1428788596345426,0.1094788806235263,0.3228839482195962,0.481,0.52575,0.6345000000000001,0.6759000000000001,0.369,0.859,0.49,0.608,0.057006310315884934,0.07449723756906076,0
121,0.60725,0.5954999999999999,0.605,0.13919694703585478,0.14249999999999996,0.22922510833405482,2.319516544922156,13.158000601632395,0.468,0.5275000000000001,0.67,0.745,0.296,1.559,1.263,0.474,0.09292260666904824,0.11849677419354837,0
122,0.594547619047619,0.5685,0.511,0.11430393951902604,0.14849999999999997,0.19225363260578648,1.128824951899055,2.204053641129538,0.4724,0.511,0.6595,0.7517000000000001,0.399,1.11,0.7110000000000001,0.527,0.09234404067495441,0.12182035928143711,0
123,0.6903459119496855,0.68,0.565,0.14295040206953355,0.15900000000000003,0.20707068673125162,2.6496894547004826,16.91609291736707,0.5466000000000001,0.596,0.755,0.8326000000000001,0.408,1.745,1.3370000000000002,0.551,0.09949750385136336,0.1262278481012658,0
124,0.5750056818181818,0.5685,0.592,0.12106377438241772,0.138,0.21054361410762265,1.082564495643177,2.479819485326262,0.4395,0.493,0.631,0.726,0.294,1.122,0.8280000000000001,0.418,0.07829915217838349,0.09577714285714285,0
125,0.6686041666666668,0.6535,0.638,0.1417789490696893,0.13574999999999993,0.21205214705216355,1.9522758319060962,7.209906489896637,0.5231,0.5845,0.72025,0.8024000000000001,0.395,1.408,1.013,0.585,0.09139127022851953,0.1136020942408377,0
126,0.6150397727272727,0.604,0.639,0.139600011428572,0.16874999999999996,0.22697720963563583,1.3192632911239937,4.081342089144017,0.454,0.51875,0.6875,0.777,0.305,1.279,0.974,0.735,0.08405410777968557,0.10973142857142856,0
127,0.5766358381502891,0.543,0.448,0.21074878969342972,0.14,0.36547986744885963,6.1106482931749815,46.770940172856996,0.4464,0.488,0.628,0.6758000000000001,0.335,2.421,2.086,0.825,0.09704600997683284,0.12554069767441858,0
128,0.7141676300578035,0.677,0.518,0.21598544345524026,0.245,0.3024296178724297,1.886188754700307,6.668261960484001,0.4994,0.561,0.806,0.9562000000000002,0.409,1.98,1.571,0.569,0.12198312214143485,0.14975,0
129,0.7387027027027029,0.687,0.638,0.19930116622227845,0.19800000000000006,0.269798885929471,2.506908381726685,10.160804870220394,0.5574,0.612,0.81,0.9637999999999999,0.477,1.955,1.4780000000000002,1.035,0.12810330681727314,0.15920108695652174,0
130,0.8010738255033557,0.716,0.693,0.30892433195192426,0.28200000000000003,0.3856377803354282,1.8169064177610785,3.839720929361534,0.5386000000000001,0.606,0.888,1.2334,0.287,2.155,1.8679999999999999,0.796,0.2225891945990646,0.3011689189189189,0
201,0.5854069767441861,0.563,0.578,0.17107066253227646,0.11575000000000002,0.2922251857736771,5.325598377817676,43.91936396809613,0.45840000000000003,0.504,0.61975,0.6895,0.263,2.182,1.919,0.945,0.09279078931020136,0.11893567251461987,1
202,0.6636989247311826,0.6185,0.535,0.25250447818646726,0.16949999999999998,0.3804503348995765,5.551271092072654,44.91129991750376,0.4995,0.53825,0.70775,0.8454999999999999,0.374,3.07,2.6959999999999997,0.758,0.15185556927170757,0.1904162162162162,1
203,0.547070796460177,0.5405,0.535,0.0744433878642743,0.09699999999999998,0.1360763329827884,0.585131809984181,1.030865596533122,0.4595,0.496,0.593,0.6395,0.374,0.821,0.44699999999999995,0.535,0.06103332973318956,0.08426222222222222,1
204,0.8724615384615384,0.6655,0.593,0.45551057412105667,0.5969999999999998,0.5220981717134312,1.6845806692981298,3.6905862162401695,0.48069999999999996,0.542,1.1389999999999998,1.4243,0.366,3.095,2.729,0.728,0.21448163417684185,0.2739275362318841,1
205,0.5873671497584542,0.524,0.468,0.3041980992027116,0.137,0.5179011106218802,5.075304428391194,31.085466723870553,0.415,0.469,0.606,0.7040000000000002,0.286,2.973,2.687,0.452,0.16547550879672948,0.20827669902912618,1
206,0.6551693121693122,0.605,0.488,0.2428175069960148,0.17299999999999993,0.3706179494152874,3.4565173229324198,19.181109526038462,0.463,0.524,0.697,0.8832000000000003,0.351,2.517,2.166,0.993,0.1436632471509528,0.18642021276595744,1
207,0.6537572815533982,0.62,0.541,0.16048467041206846,0.14800000000000002,0.24548050926597634,3.6458139261475795,25.554443251777638,0.5135000000000001,0.565,0.713,0.8140000000000001,0.382,2.031,1.649,0.709,0.11411423040785974,0.14826341463414633,1
208,0.687867924528302,0.6715,0.621,0.17960494254406936,0.1835,0.26110381970089896,3.575068399738961,29.066307415310163,0.521,0.5825,0.766,0.8666,0.289,2.301,2.012,0.469,0.11462929856596818,0.14544549763033174,1
209,0.7696979865771814,0.623,0.572,0.5075797779024923,0.237,0.6594531709244569,2.6041364139023435,7.037157356828233,0.4128,0.496,0.733,1.3482000000000012,0.286,3.063,2.777,0.512,0.35222359943130005,0.4426756756756756,1
210,0.6044858490566037,0.5874999999999999,0.488,0.11382473612738042,0.11175000000000002,0.18830008395568237,1.3025819629522648,3.9786272244843977,0.501,0.5345,0.64625,0.7336,0.257,1.122,0.8650000000000001,0.525,0.07946894326389752,0.10025118483412322,1
211,0.6574181818181818,0.606,0.525,0.2903751768071526,0.14874999999999994,0.44169021307576173,6.54544017553021,59.32731373810228,0.501,0.5387500000000001,0.6875,0.7956,0.314,3.742,3.428,1.049,0.16036594286996383,0.2030045662100457,1
212,0.6425317460317459,0.5765,0.478,0.2923906575307034,0.17749999999999988,0.4550602508537487,4.294559245458167,23.348953756071197,0.4485,0.51175,0.6892499999999999,0.785,0.346,2.698,2.352,0.516,0.1709398020050702,0.24184,1
213,0.8273096774193549,0.704,0.505,0.5052779186424416,0.242,0.6107482269741678,3.5292053667321026,15.658744272892235,0.4912,0.6054999999999999,0.8474999999999999,1.2315999999999998,0.25,3.834,3.584,1.335,0.33600671683411465,0.4095714285714286,1
214,0.7486994818652849,0.661,0.478,0.3895205141354869,0.20099999999999996,0.520262833847632,3.0848996194692537,11.749727385876076,0.478,0.557,0.758,1.0214000000000003,0.268,3.229,2.9610000000000003,0.999,0.24495098234365745,0.30521875000000004,1
215,0.7989846938775509,0.661,0.625,0.4745376963697686,0.21499999999999997,0.5939258912042367,3.768089436188818,16.597813791596842,0.537,0.598,0.813,1.1265,0.252,3.734,3.482,1.557,0.2939672165581175,0.33731794871794873,1
216,0.770887573964497,0.68,0.524,0.4353191501741171,0.2719999999999999,0.5646986212728415,2.8616693397252506,9.676427857219698,0.4414,0.548,0.82,1.069,0.26,2.949,2.689,0.439,0.2996619598084417,0.3592440476190476,1
217,0.7273373493975903,0.6315,0.578,0.36533858786849416,0.18125000000000013,0.5022959266028096,3.82935925376267,16.770019318021824,0.5125,0.5674999999999999,0.74875,0.9095,0.262,2.954,2.692,2.954,0.1943649612835215,0.2475939393939394,1
218,0.957828125,0.8345,0.629,0.3788384201529517,0.2577499999999999,0.3955181626692698,1.5806623641119408,1.7774730089259538,0.616,0.744,1.00175,1.5214,0.483,2.087,1.604,0.64,0.30041543108882857,0.39952380952380956,1
219,0.5731868131868132,0.5555000000000001,0.565,0.13682281090647755,0.10375000000000001,0.23870544080692976,1.8826517584168565,6.252546195214299,0.454,0.49524999999999997,0.599,0.7346,0.258,1.299,1.041,1.175,0.09878422159017453,0.12521546961325966,1
220,0.659421875,0.652,0.645,0.09728454635235946,0.11399999999999999,0.1475300563123713,0.04899224085450269,3.3178195506492925,0.558,0.59825,0.7122499999999999,0.78,0.256,1.12,0.8640000000000001,0.256,0.06650505652977767,0.08421960784313726,1
221,1.104050847457627,0.867,0.828,0.6324317186625512,0.43199999999999994,0.5728284345951047,2.3205486057899605,5.664611530416153,0.6226,0.772,1.204,1.9102000000000003,0.472,3.607,3.1350000000000002,0.833,0.49814007569259183,0.5330517241379311,1
222,0.7030656565656566,0.646,0.645,0.218012604427394,0.21499999999999997,0.3100885420749245,2.001676268854555,5.755718156204145,0.509,0.555,0.77,0.9450000000000001,0.316,1.772,1.456,0.632,0.1667186203935252,0.21385786802030457,1
223,0.5469099099099098,0.533,0.485,0.11530676277405988,0.10775000000000001,0.2108331933371876,3.677735307696404,27.3453606749615,0.4381,0.481,0.58875,0.6489,0.367,1.571,1.204,0.49,0.08296165876631074,0.10915837104072396,1
224,0.8725833333333333,0.835,0.835,0.28882681357647655,0.3164999999999999,0.33100198289730864,1.0235880656878193,1.2482491827948419,0.5795,0.676,0.9924999999999999,1.2936999999999999,0.318,1.897,1.579,0.762,0.23728857446141186,0.2906915887850468,1
225,0.5989263157894738,0.583,0.591,0.1326902401602884,0.09699999999999998,0.22154685252956866,3.95919079073587,23.955100316946993,0.48319999999999996,0.5375000000000001,0.6345000000000001,0.6786000000000001,0.393,1.521,1.128,0.535,0.08960727044794813,0.11801063829787234,1
226,0.788742268041237,0.614,0.5,0.5203999904583807,0.273,0.6597845855918719,2.8229999732307167,10.240820071102421,0.4318,0.515,0.788,1.5500000000000005,0.291,3.749,3.458,0.323,0.4018139170689774,0.48294791666666664,1
227,0.6220588235294117,0.568,0.538,0.20200151364050323,0.131,0.3247305656632204,3.0941650684564803,11.894742001010803,0.4728,0.5175000000000001,0.6485000000000001,0.804,0.372,1.763,1.391,0.393,0.13565270305778482,0.17505913978494625,1
228,0.7740454545454546,0.7104999999999999,0.671,0.21119755449529568,0.22349999999999992,0.27284903393602117,1.5092725995169585,2.6295381506804745,0.5720000000000001,0.644,0.8674999999999999,1.0462,0.493,1.553,1.06,1.028,0.18257911530087748,0.24113953488372092,1
229,0.9495714285714285,0.805,0.627,0.5936437781819579,0.31975,0.6251702192378074,3.055266530995079,10.323239153783135,0.5868,0.65525,0.975,1.5007000000000006,0.296,3.897,3.601,0.82,0.39885574935607754,0.5025903614457832,1
