,rt_mean,rt_std,rt_cv,label
101,0.6260869565217392,0.1418049527078528,0.22649402168615373,0
102,0.6572484848484849,0.19748934473936336,0.30047896540208907,0
103,0.6837904191616767,0.279944601712496,0.40940117595637937,0
104,0.6001079545454545,0.09659583526876643,0.16096409743798837,0
105,0.7178266666666666,0.46996576820965263,0.6547064772502916,0
106,0.6018555555555556,0.10151415458076236,0.16866863426567122,0
107,0.7079014778325123,0.18824308293713762,0.26591706449534414,0
108,0.45876785714285717,0.07042937810438246,0.1535185541179953,0
109,0.5893413173652695,0.08637592066149476,0.14656349065707808,0
110,0.6312702702702703,0.18630553931917332,0.2951280110805931,0
111,0.5390515463917526,0.08444266903218288,0.15665045318470278,0
112,0.7056095890410959,0.2900857306744456,0.4111136458174614,0
113,0.596103448275862,0.14928758287916144,0.2504390526693864,0
114,0.6506597222222221,0.35594284347651245,0.5470491430771952,0
115,0.6875051546391753,0.11088297199563302,0.1612831136572757,0
116,0.6044971428571428,0.10608411079546884,0.17549150074401437,0
117,0.7383782051282052,0.3883442720416353,0.5259422195082353,0
118,0.6265740740740742,0.1476095034226654,0.2355818881283857,0
119,0.6210235294117646,0.1388573941745812,0.22359441727772755,0
120,0.5804999999999999,0.08294117801785197,0.1428788596345426,0
121,0.60725,0.13919694703585478,0.22922510833405482,0
122,0.594547619047619,0.11430393951902604,0.19225363260578648,0
123,0.6903459119496855,0.14295040206953355,0.20707068673125162,0
124,0.5750056818181818,0.12106377438241772,0.21054361410762265,0
125,0.6686041666666668,0.1417789490696893,0.21205214705216355,0
126,0.6150397727272727,0.139600011428572,0.22697720963563583,0
127,0.5766358381502891,0.21074878969342972,0.36547986744885963,0
128,0.7141676300578035,0.21598544345524026,0.3024296178724297,0
129,0.7387027027027029,0.19930116622227845,0.269798885929471,0
130,0.8010738255033557,0.30892433195192426,0.3856377803354282,0
201,0.5854069767441861,0.17107066253227646,0.2922251857736771,1
202,0.6636989247311826,0.25250447818646726,0.3804503348995765,1
203,0.547070796460177,0.0744433878642743,0.1360763329827884,1
204,0.8724615384615384,0.45551057412105667,0.5220981717134312,1
205,0.5873671497584542,0.3041980992027116,0.5179011106218802,1
206,0.6551693121693122,0.2428175069960148,0.3706179494152874,1
207,0.6537572815533982,0.16048467041206846,0.24548050926597634,1
208,0.687867924528302,0.17960494254406936,0.26110381970089896,1
209,0.7696979865771814,0.5075797779024923,0.6594531709244569,1
210,0.6044858490566037,0.11382473612738042,0.18830008395568237,1
211,0.6574181818181818,0.2903751768071526,0.44169021307576173,1
212,0.6425317460317459,0.2923906575307034,0.4550602508537487,1
213,0.8273096774193549,0.5052779186424416,0.6107482269741678,1
214,0.7486994818652849,0.3895205141354869,0.520262833847632,1
215,0.7989846938775509,0.4745376963697686,0.5939258912042367,1
216,0.770887573964497,0.4353191501741171,0.5646986212728415,1
217,0.7273373493975903,0.36533858786849416,0.5022959266028096,1
218,0.957828125,0.3788384201529517,0.3955181626692698,1
219,0.5731868131868132,0.13682281090647755,0.23870544080692976,1
220,0.659421875,0.09728454635235946,0.1475300563123713,1
221,1.104050847457627,0.6324317186625512,0.5728284345951047,1
222,0.7030656565656566,0.218012604427394,0.3100885420749245,1
223,0.5469099099099098,0.11530676277405988,0.2108331933371876,1
224,0.8725833333333333,0.28882681357647655,0.33100198289730864,1
225,0.5989263157894738,0.1326902401602884,0.22154685252956866,1
226,0.788742268041237,0.5203999904583807,0.6597845855918719,1
227,0.6220588235294117,0.20200151364050323,0.3247305656632204,1
228,0.7740454545454546,0.21119755449529568,0.27284903393602117,1
229,0.9495714285714285,0.5936437781819579,0.6251702192378074,1
