形状 k,注入比例,gamma 估计,距上界距离_ms,触及上界,触及优化下界,lam 估计,k 估计
2.0,0（干净）,0.3087,20.8,0.0%,0.0%,0.439,1.961
2.0,0.25%,0.2557,24.9,0.0%,0.0%,0.497,2.232
2.0,0.5%,0.2146,30.6,0.0%,0.0%,0.541,2.429
2.0,1%,0.171,40.6,0.0%,0.0%,0.587,2.62
2.0,2%,0.1113,66.0,0.0%,1.5%,0.646,2.848
2.0,8%,0.0194,137.4,0.0%,52.0%,0.716,2.9
